session_name,session_id,participant_id,is_human,url,time_in,time_out
social_influence_task,7ifywlmk,suzgrazu,0,http://localhost:8000/InitializeParticipant/suzgrazu,2025-04-18T10:23:03.377900+00:00,2025-04-18T10:26:01.540216+00:00
social_influence_task,7ifywlmk,h4m11zlq,0,http://localhost:8000/InitializeParticipant/h4m11zlq,,
social_influence_task,7ifywlmk,hlv578p1,1,http://localhost:8000/InitializeParticipant/hlv578p1,,
social_influence_task,7ifywlmk,lfs3wgz4,0,http://localhost:8000/InitializeParticipant/lfs3wgz4,,
social_influence_task,7ifywlmk,ru3dlxbm,0,http://localhost:8000/InitializeParticipant/ru3dlxbm,,
7ifywlmk,7ifywlmk,suzgrazu,0,http://localhost:8000/InitializeParticipant/suzgrazu,2025-04-18T10:23:03.377900+00:00,2025-04-18T10:26:01.540216+00:00
