Quartile Boundaries:
Q1/Q2 boundary (25th percentile): 50.45 %
Q2/Q3 boundary (50th percentile/median): 57.92 %
Q3/Q4 boundary (75th percentile): 70.08 %

Participant Rankings (Best to Worst):
Rank	Participant ID	Overall Accuracy (%)	Overall Correct	Overall Total	Choice1 Accuracy (%)	Choice1 Correct	Choice1 Total	Choice2 Accuracy (%)	Choice2 Correct	Choice2 Total	Quartile
161	519	57.72	71	123	52.38	33	63	63.33	38	60	Second Quartile (Q2)
162	478	57.66	64	111	58.93	33	56	56.36	31	55	Second Quartile (Q2)
163	333	57.63	68	118	57.63	34	59	57.63	34	59	Second Quartile (Q2)
164	158	57.6	72	125	50.79	32	63	64.52	40	62	Second Quartile (Q2)
165	492	57.6	72	125	58.73	37	63	56.45	35	62	Second Quartile (Q2)
166	88	57.48	73	127	56.25	36	64	58.73	37	63	Second Quartile (Q2)
167	460	57.39	66	115	60.38	32	53	54.84	34	62	Second Quartile (Q2)
168	225	57.26	71	124	56.67	34	60	57.81	37	64	Second Quartile (Q2)
169	543	57.26	71	124	56.45	35	62	58.06	36	62	Second Quartile (Q2)
170	362	57.14	64	112	56.36	31	55	57.89	33	57	Second Quartile (Q2)
171	514	57.03	73	128	57.81	37	64	56.25	36	64	Second Quartile (Q2)
172	79	57.02	69	121	57.89	33	57	56.25	36	64	Second Quartile (Q2)
173	11	56.69	72	127	54.69	35	64	58.73	37	63	Second Quartile (Q2)
174	392	56.56	69	122	53.33	32	60	59.68	37	62	Second Quartile (Q2)
175	442	56.35	71	126	46.03	29	63	66.67	42	63	Second Quartile (Q2)
176	524	56.35	71	126	54.84	34	62	57.81	37	64	Second Quartile (Q2)
177	105	56.25	72	128	56.25	36	64	56.25	36	64	Second Quartile (Q2)
178	381	56.1	69	123	52.46	32	61	59.68	37	62	Second Quartile (Q2)
179	567	56	70	125	55.74	34	61	56.25	36	64	Second Quartile (Q2)
180	108	55.91	71	127	56.25	36	64	55.56	35	63	Second Quartile (Q2)
181	360	55.91	71	127	55.56	35	63	56.25	36	64	Second Quartile (Q2)
182	447	55.75	63	113	56.36	31	55	55.17	32	58	Second Quartile (Q2)
183	76	55.56	70	126	53.23	33	62	57.81	37	64	Second Quartile (Q2)
184	341	55.37	67	121	47.46	28	59	62.9	39	62	Second Quartile (Q2)
185	31	55.28	68	123	55.93	33	59	54.69	35	64	Second Quartile (Q2)
186	163	55.28	68	123	46.77	29	62	63.93	39	61	Second Quartile (Q2)
187	303	55.26	63	114	48.21	27	56	62.07	36	58	Second Quartile (Q2)
188	522	55.2	69	125	53.23	33	62	57.14	36	63	Second Quartile (Q2)
189	563	55.2	69	125	52.38	33	63	58.06	36	62	Second Quartile (Q2)
190	84	55.12	70	127	56.25	36	64	53.97	34	63	Second Quartile (Q2)
191	93	55.12	70	127	50.79	32	63	59.38	38	64	Second Quartile (Q2)
