Prolific ID,Base Payoff,Bonus Payoff,Total Payoff,Final Bonus Score,Final Choice 1 Sum
Unknown,6.0,0.0,6.0,-120,-280
Unknown,6.0,0.0,6.0,-100,260
Unknown,6.0,0.0,6.0,-120,600
Unknown,6.0,0.32,6.32,240,280
Unknown,6.0,0.0,6.0,-200,-880
Unknown,6.0,0.0,6.0,0,20
Unknown,6.0,0.4,6.4,300,280
Unknown,6.0,0.08,6.08,60,240
Unknown,6.0,0.45,6.45,340,-180
Unknown,6.0,1.01,7.01,760,540
Unknown,6.0,0.37,6.37,280,-460
Unknown,6.0,0.16,6.16,120,180
Unknown,6.0,0.11,6.11,80,280
Unknown,6.0,0.0,6.0,-660,-100
Unknown,6.0,0.0,6.0,-740,60
Unknown,6.0,0.16,6.16,120,-240
Unknown,6.0,0.0,6.0,-40,-60
Unknown,6.0,0.91,6.91,680,80
Unknown,6.0,0.0,6.0,-20,140
Unknown,6.0,0.96,6.96,720,80
Unknown,6.0,0.0,6.0,-700,-340
Unknown,6.0,0.59,6.59,440,600
Unknown,6.0,0.0,6.0,-340,100
Unknown,6.0,0.0,6.0,-60,160
Unknown,6.0,0.19,6.19,140,-300
Unknown,6.0,0.56,6.56,420,380
Unknown,6.0,0.72,6.72,540,320
Unknown,6.0,0.0,6.0,-420,20
Unknown,6.0,0.13,6.13,100,-260
Unknown,6.0,0.0,6.0,-360,0
Unknown,6.0,0.0,6.0,-280,-100
Unknown,6.0,0.0,6.0,-300,-200
Unknown,6.0,0.24,6.24,180,560
Unknown,6.0,0.0,6.0,-100,-180
Unknown,6.0,0.0,6.0,-320,-540
Unknown,6.0,0.0,6.0,-360,-160
Unknown,6.0,0.03,6.03,20,0
Unknown,6.0,0.61,6.61,460,460
Unknown,6.0,0.0,6.0,-200,-500
Unknown,6.0,0.21,6.21,160,60
Unknown,6.0,0.0,6.0,-320,260
Unknown,6.0,0.03,6.03,20,240
Unknown,6.0,0.03,6.03,20,240
Unknown,6.0,0.0,6.0,-500,-220
Unknown,6.0,0.37,6.37,280,300
Unknown,6.0,0.0,6.0,-220,-160
Unknown,6.0,0.0,6.0,-120,60
Unknown,6.0,0.0,6.0,-280,20
Unknown,6.0,0.08,6.08,60,-260
Unknown,6.0,0.59,6.59,440,-480
Unknown,6.0,0.03,6.03,20,420
Unknown,6.0,0.27,6.27,200,200
Unknown,6.0,0.56,6.56,420,80
Unknown,6.0,0.05,6.05,40,-60
Unknown,6.0,0.35,6.35,260,20
Unknown,6.0,0.0,6.0,-60,-40
Unknown,6.0,0.27,6.27,200,380
Unknown,6.0,0.53,6.53,400,-40
Unknown,6.0,0.0,6.0,-40,360
Unknown,6.0,0.48,6.48,360,100
Unknown,6.0,0.43,6.43,320,100
Unknown,6.0,0.0,6.0,-460,-440
Unknown,6.0,0.0,6.0,-160,-100
Unknown,6.0,0.0,6.0,-660,-100
Unknown,6.0,0.08,6.08,60,-160
Unknown,6.0,0.0,6.0,-60,440
Unknown,6.0,0.29,6.29,220,160
Unknown,6.0,0.0,6.0,-540,280
Unknown,6.0,0.0,6.0,-540,280
Unknown,6.0,0.0,6.0,-60,-40
Unknown,6.0,0.0,6.0,-20,-100
Unknown,6.0,0.03,6.03,20,20
Unknown,6.0,0.0,6.0,-40,-100
Unknown,6.0,0.0,6.0,-140,-40
Unknown,6.0,0.83,6.83,620,140
Unknown,6.0,0.0,6.0,-240,-200
Unknown,6.0,0.32,6.32,240,-380
Unknown,6.0,0.72,6.72,540,-200
Unknown,6.0,0.59,6.59,440,120
Unknown,6.0,0.05,6.05,40,160
Unknown,6.0,0.0,6.0,-120,60
Unknown,6.0,0.0,6.0,-440,-380
Unknown,6.0,0.03,6.03,20,140
Unknown,6.0,0.27,6.27,200,360
Unknown,6.0,0.0,6.0,-80,-100
Unknown,6.0,0.0,6.0,-120,40
Unknown,6.0,0.0,6.0,0,-660
Unknown,6.0,0.27,6.27,200,-100
Unknown,6.0,0.0,6.0,-120,-140
Unknown,6.0,0.0,6.0,-160,-180
Unknown,6.0,0.0,6.0,-140,220
Unknown,6.0,0.0,6.0,-20,100
Unknown,6.0,0.11,6.11,80,380
Unknown,6.0,0.0,6.0,-480,-420
No ID provided,6.0,0.16,6.16,120,140
No ID provided,6.0,0.0,6.0,-380,-140
No ID provided,6.0,0.21,6.21,160,-60
No ID provided,6.0,0.03,6.03,20,-160
No ID provided,6.0,0.56,6.56,420,840
No ID provided,6.0,0.03,6.03,20,-160
No ID provided,6.0,0.03,6.03,20,-160
Unknown,6.0,0.0,6.0,-420,280
Unknown,6.0,0.0,6.0,-80,-280
Unknown,6.0,0.32,6.32,240,340
Unknown,6.0,0.11,6.11,80,-160
